__sample_id__,__target__,V1,V2,V3,V4
blood_000000,1,2,50,12500,98
blood_000001,1,0,13,3250,28
blood_000002,1,1,16,4000,35
blood_000003,1,2,20,5000,45
blood_000004,0,1,24,6000,77
blood_000005,0,4,4,1000,4
blood_000006,1,2,7,1750,14
blood_000007,0,1,12,3000,35
blood_000008,1,2,9,2250,22
blood_000009,1,5,46,11500,98
blood_000010,0,4,23,5750,58
blood_000011,0,0,3,750,4
blood_000012,1,2,10,2500,28
blood_000013,0,1,13,3250,47
blood_000014,1,2,6,1500,15
blood_000015,1,2,5,1250,11
blood_000016,1,2,14,3500,48
blood_000017,1,2,15,3750,49
blood_000018,1,2,6,1500,15
blood_000019,1,2,3,750,4
blood_000020,1,2,3,750,4
blood_000021,0,4,11,2750,28
blood_000022,1,2,6,1500,16
blood_000023,1,2,6,1500,16
blood_000024,0,9,9,2250,16
blood_000025,0,4,14,3500,40
blood_000026,0,4,6,1500,14
blood_000027,1,4,12,3000,34
blood_000028,1,4,5,1250,11
blood_000029,0,4,8,2000,21
blood_000030,0,1,14,3500,58
blood_000031,1,4,10,2500,28
blood_000032,1,4,10,2500,28
blood_000033,1,4,9,2250,26
blood_000034,0,2,16,4000,64
blood_000035,1,2,8,2000,28
blood_000036,1,2,12,3000,47
blood_000037,1,4,6,1500,16
blood_000038,1,2,14,3500,57
blood_000039,1,4,7,1750,22
blood_000040,1,2,13,3250,53
blood_000041,0,2,5,1250,16
blood_000042,1,2,5,1250,16
blood_000043,0,2,5,1250,16
blood_000044,1,4,20,5000,69
blood_000045,1,4,9,2250,28
blood_000046,0,2,9,2250,36
blood_000047,0,2,2,500,2
blood_000048,0,2,2,500,2
blood_000049,0,2,2,500,2
blood_000050,0,2,11,2750,46
blood_000051,1,2,11,2750,46
blood_000052,0,2,6,1500,22
blood_000053,0,2,12,3000,52
blood_000054,1,4,5,1250,14
blood_000055,1,4,19,4750,69
blood_000056,1,4,8,2000,26
blood_000057,1,2,7,1750,28
blood_000058,0,2,16,4000,81
blood_000059,0,3,6,1500,21
blood_000060,0,2,7,1750,29
blood_000061,1,2,8,2000,35
blood_000062,0,2,10,2500,49
blood_000063,1,4,5,1250,16
blood_000064,1,2,3,750,9
blood_000065,0,3,16,4000,74
blood_000066,1,2,4,1000,14
blood_000067,0,0,2,500,4
blood_000068,0,4,7,1750,25
blood_000069,0,1,9,2250,51
blood_000070,0,2,4,1000,16
blood_000071,0,2,4,1000,16
blood_000072,1,4,17,4250,71
blood_000073,0,2,2,500,4
blood_000074,1,2,2,500,4
blood_000075,1,2,2,500,4
blood_000076,1,2,4,1000,16
blood_000077,0,2,2,500,4
blood_000078,0,2,2,500,4
blood_000079,0,2,2,500,4
blood_000080,1,4,6,1500,23
blood_000081,0,2,4,1000,16
blood_000082,0,2,4,1000,16
blood_000083,0,2,4,1000,16
blood_000084,1,2,6,1500,28
blood_000085,0,2,6,1500,28
blood_000086,0,4,2,500,4
blood_000087,0,4,2,500,4
blood_000088,0,4,2,500,4
blood_000089,1,2,7,1750,35
blood_000090,1,4,2,500,4
blood_000091,0,4,2,500,4
blood_000092,0,4,2,500,4
blood_000093,0,4,2,500,4
