__sample_id__,__target__,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14
credit_000000,0,1,65,168,2,4,4,39,0,0,1,1,2,32,161
credit_000001,0,0,72,123,2,8,4,5,0,0,1,0,2,53,1
credit_000002,0,0,142,52,1,4,4,31,0,0,1,1,2,98,1
credit_000003,1,0,60,169,1,5,3,1,1,1,12,1,2,1,1
credit_000004,1,1,44,134,2,6,4,46,1,1,15,0,2,18,68
credit_000005,1,0,4,20,2,8,8,37,1,1,3,0,2,32,1
credit_000006,0,1,16,119,2,3,4,4,0,0,1,0,2,18,50
credit_000007,1,0,330,94,2,11,8,66,1,1,7,0,2,12,120
credit_000008,0,1,126,33,1,2,8,65,0,0,1,0,2,61,117
credit_000009,0,0,315,125,2,4,8,100,1,1,4,1,2,32,36
credit_000010,1,1,183,52,2,14,8,81,1,1,5,1,2,89,144
credit_000011,1,1,248,102,2,11,8,85,1,1,7,1,2,148,1
credit_000012,0,1,49,40,1,8,8,34,1,1,4,1,2,45,79
credit_000013,1,1,198,102,2,14,8,104,1,1,7,1,2,1,150
credit_000014,0,1,329,69,2,8,4,56,0,0,1,1,2,107,1
credit_000015,1,1,284,116,2,4,4,2,0,0,1,0,2,1,196
credit_000016,1,1,142,95,2,9,4,104,1,1,3,1,2,109,1
credit_000017,1,0,33,139,2,6,4,20,1,1,3,0,2,26,124
credit_000018,0,1,42,40,1,4,4,4,0,0,1,0,2,45,5
credit_000019,1,0,69,111,2,11,4,60,1,1,8,0,2,41,202
credit_000020,0,0,129,20,2,6,4,2,0,0,1,0,2,92,151
credit_000021,0,0,35,20,1,6,4,16,1,0,1,1,2,53,1
credit_000022,0,1,246,42,2,2,4,5,0,0,1,0,2,57,1
credit_000023,0,1,250,52,2,4,4,6,1,0,1,0,2,53,1
credit_000024,0,1,38,146,2,6,4,21,0,0,1,0,2,24,101
credit_000025,1,1,176,46,2,13,8,93,1,1,4,1,2,1,1
credit_000026,0,1,70,5,1,4,4,4,0,0,1,0,2,69,44
credit_000027,1,1,181,74,1,8,8,48,1,1,2,1,2,63,235
credit_000028,1,0,155,175,2,8,4,47,1,1,2,0,2,77,20
credit_000029,1,1,77,66,2,8,4,28,1,1,12,1,2,18,186
credit_000030,1,1,118,26,2,8,8,78,1,1,4,1,2,106,66
credit_000031,0,0,47,160,1,14,8,1,0,0,1,1,2,51,28
credit_000032,0,1,305,43,1,8,8,114,1,0,1,1,2,69,50
credit_000033,1,1,77,169,2,9,8,50,1,1,12,1,2,100,92
credit_000034,0,1,259,40,2,7,4,123,0,1,2,1,2,115,54
credit_000035,0,1,348,204,1,1,1,2,0,1,3,0,2,1,102
credit_000036,1,1,95,180,2,6,4,65,1,0,1,1,1,3,1
credit_000037,1,1,236,191,2,9,4,111,1,1,7,1,2,20,1
credit_000038,1,0,282,132,2,8,4,106,1,1,7,1,2,1,164
credit_000039,1,0,280,73,2,14,4,123,1,1,3,1,2,155,178
credit_000040,1,1,78,1,2,13,4,3,1,0,1,0,2,1,1
credit_000041,0,1,71,46,1,6,4,15,0,0,1,1,2,38,42
credit_000042,1,1,115,37,2,14,8,31,1,0,1,0,2,1,216
credit_000043,0,1,338,18,2,8,4,16,1,1,4,1,2,63,1
credit_000044,0,1,84,14,1,8,4,2,0,1,3,0,2,40,7
credit_000045,1,0,50,156,2,11,4,19,1,1,3,1,2,14,1
credit_000046,0,0,90,52,1,8,4,5,0,0,1,0,2,43,1
credit_000047,1,1,8,2,2,8,4,2,0,0,1,0,2,1,1
credit_000048,0,0,141,55,1,10,8,47,0,0,1,0,2,91,18
credit_000049,1,0,308,196,2,8,4,93,1,1,15,0,2,1,188
credit_000050,0,1,173,82,2,4,4,14,0,0,1,1,2,84,1
credit_000051,0,1,53,90,1,3,8,2,0,0,1,0,2,45,50
