__sample_id__,__target__,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker
german_numer_000000,1,<0,6,critical/other existing credit,radio/tv,1169,no known savings,>=7,4,male single,,4,real estate,67,,own,2,skilled,1,yes,yes
german_numer_000001,0,0<=X<200,48,existing paid,radio/tv,5951,<100,1<=X<4,2,female div/dep/mar,,2,real estate,22,,own,1,skilled,1,,yes
german_numer_000002,1,no checking,12,critical/other existing credit,education,2096,<100,4<=X<7,2,male single,,3,real estate,49,,own,1,unskilled resident,2,,yes
german_numer_000003,1,<0,42,existing paid,furniture/equipment,7882,<100,4<=X<7,2,male single,guarantor,4,life insurance,45,,for free,1,skilled,2,,yes
german_numer_000004,0,<0,24,delayed previously,new car,4870,<100,1<=X<4,3,male single,,4,no known property,53,,for free,2,skilled,2,,yes
german_numer_000005,1,no checking,36,existing paid,education,9055,no known savings,1<=X<4,2,male single,,4,no known property,35,,for free,1,unskilled resident,2,yes,yes
german_numer_000006,1,no checking,24,existing paid,furniture/equipment,2835,500<=X<1000,>=7,3,male single,,4,life insurance,53,,own,1,skilled,1,,yes
german_numer_000007,1,0<=X<200,36,existing paid,used car,6948,<100,1<=X<4,2,male single,,2,car,35,,rent,1,high qualif/self emp/mgmt,1,yes,yes
german_numer_000008,1,no checking,12,existing paid,radio/tv,3059,>=1000,4<=X<7,2,male div/sep,,4,real estate,61,,own,1,unskilled resident,1,,yes
german_numer_000009,0,0<=X<200,30,critical/other existing credit,new car,5234,<100,unemployed,4,male mar/wid,,2,car,28,,own,2,high qualif/self emp/mgmt,1,,yes
german_numer_000010,0,0<=X<200,12,existing paid,new car,1295,<100,<1,3,female div/dep/mar,,1,car,25,,rent,1,skilled,1,,yes
german_numer_000011,0,<0,48,existing paid,business,4308,<100,<1,3,female div/dep/mar,,4,life insurance,24,,rent,1,skilled,1,,yes
german_numer_000012,1,0<=X<200,12,existing paid,radio/tv,1567,<100,1<=X<4,1,female div/dep/mar,,1,car,22,,own,1,skilled,1,yes,yes
german_numer_000013,0,<0,24,critical/other existing credit,new car,1199,<100,>=7,4,male single,,4,car,60,,own,2,unskilled resident,1,,yes
german_numer_000014,1,<0,15,existing paid,new car,1403,<100,1<=X<4,2,female div/dep/mar,,4,car,28,,rent,1,skilled,1,,yes
german_numer_000015,0,<0,24,existing paid,radio/tv,1282,100<=X<500,1<=X<4,4,female div/dep/mar,,2,car,32,,own,1,unskilled resident,1,,yes
german_numer_000016,1,no checking,24,critical/other existing credit,radio/tv,2424,no known savings,>=7,4,male single,,4,life insurance,53,,own,2,skilled,1,,yes
german_numer_000017,1,<0,30,no credits/all paid,business,8072,no known savings,<1,2,male single,,3,car,25,bank,own,3,skilled,1,,yes
german_numer_000018,0,0<=X<200,24,existing paid,used car,12579,<100,>=7,4,female div/dep/mar,,2,no known property,44,,for free,1,high qualif/self emp/mgmt,1,yes,yes
german_numer_000019,1,no checking,24,existing paid,radio/tv,3430,500<=X<1000,>=7,3,male single,,2,car,31,,own,1,skilled,2,yes,yes
german_numer_000020,1,no checking,9,critical/other existing credit,new car,2134,<100,1<=X<4,4,male single,,4,car,48,,own,3,skilled,1,yes,yes
german_numer_000021,1,<0,6,existing paid,radio/tv,2647,500<=X<1000,1<=X<4,2,male single,,3,real estate,44,,rent,1,skilled,2,,yes
german_numer_000022,1,<0,10,critical/other existing credit,new car,2241,<100,<1,1,male single,,3,real estate,48,,rent,2,unskilled resident,2,,no
german_numer_000023,1,0<=X<200,12,critical/other existing credit,used car,1804,100<=X<500,<1,3,male single,,4,life insurance,44,,own,1,skilled,1,,yes
german_numer_000024,1,no checking,10,critical/other existing credit,furniture/equipment,2069,no known savings,1<=X<4,2,male mar/wid,,1,car,26,,own,2,skilled,1,,no
german_numer_000025,1,<0,6,existing paid,furniture/equipment,1374,<100,1<=X<4,1,male single,,2,real estate,36,bank,own,1,unskilled resident,1,yes,yes
german_numer_000026,1,no checking,6,no credits/all paid,radio/tv,426,<100,>=7,4,male mar/wid,,4,car,39,,own,1,unskilled resident,1,,yes
german_numer_000027,1,>=200,12,all paid,radio/tv,409,>=1000,1<=X<4,3,female div/dep/mar,,3,real estate,42,,rent,2,skilled,1,,yes
german_numer_000028,1,0<=X<200,7,existing paid,radio/tv,2415,<100,1<=X<4,3,male single,guarantor,2,real estate,34,,own,1,skilled,1,,yes
german_numer_000029,0,<0,60,delayed previously,business,6836,<100,>=7,3,male single,,4,no known property,63,,own,2,skilled,1,yes,yes
german_numer_000030,1,0<=X<200,18,existing paid,business,1913,>=1000,<1,3,male mar/wid,,3,real estate,36,bank,own,1,skilled,1,yes,yes
german_numer_000031,1,<0,24,existing paid,furniture/equipment,4020,<100,1<=X<4,2,male single,,2,car,27,stores,own,1,skilled,1,,yes
german_numer_000032,1,0<=X<200,18,existing paid,new car,5866,100<=X<500,1<=X<4,2,male single,,2,car,30,,own,2,skilled,1,yes,yes
german_numer_000033,1,no checking,12,critical/other existing credit,business,1264,no known savings,>=7,4,male single,,4,no known property,57,,rent,1,unskilled resident,1,,yes
german_numer_000034,1,>=200,12,existing paid,furniture/equipment,1474,<100,<1,4,female div/dep/mar,,1,life insurance,33,bank,own,1,high qualif/self emp/mgmt,1,yes,yes
