__sample_id__,__target__,Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day)
concrete_compressive_strength_000000,79.98611076,540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28
concrete_compressive_strength_000001,61.887365759999994,540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28
concrete_compressive_strength_000002,40.269535256000005,332.5,142.5,0.0,228.0,0.0,932.0,594.0,270
concrete_compressive_strength_000003,41.052779992,332.5,142.5,0.0,228.0,0.0,932.0,594.0,365
concrete_compressive_strength_000004,44.296075096,198.6,132.4,0.0,192.0,0.0,978.4,825.5,360
concrete_compressive_strength_000005,47.029847436000004,266.0,114.0,0.0,228.0,0.0,932.0,670.0,90
concrete_compressive_strength_000006,43.698299404,380.0,95.0,0.0,228.0,0.0,932.0,594.0,365
concrete_compressive_strength_000007,36.447769788,380.0,95.0,0.0,228.0,0.0,932.0,594.0,28
concrete_compressive_strength_000008,45.854290856,266.0,114.0,0.0,228.0,0.0,932.0,670.0,28
concrete_compressive_strength_000009,39.28978986,475.0,0.0,0.0,228.0,0.0,932.0,594.0,28
concrete_compressive_strength_000010,38.074243671999994,198.6,132.4,0.0,192.0,0.0,978.4,825.5,90
concrete_compressive_strength_000011,28.021683592,198.6,132.4,0.0,192.0,0.0,978.4,825.5,28
concrete_compressive_strength_000012,43.01296026,427.5,47.5,0.0,228.0,0.0,932.0,594.0,270
concrete_compressive_strength_000013,42.32693164,190.0,190.0,0.0,228.0,0.0,932.0,670.0,90
concrete_compressive_strength_000014,47.813781648,304.0,76.0,0.0,228.0,0.0,932.0,670.0,28
concrete_compressive_strength_000015,52.908319811999995,380.0,0.0,0.0,228.0,0.0,932.0,670.0,90
concrete_compressive_strength_000016,39.358047983999995,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90
concrete_compressive_strength_000017,56.141962252,342.0,38.0,0.0,228.0,0.0,932.0,670.0,365
concrete_compressive_strength_000018,40.563252031999994,380.0,95.0,0.0,228.0,0.0,932.0,594.0,90
concrete_compressive_strength_000019,42.620648416,475.0,0.0,0.0,228.0,0.0,932.0,594.0,180
