__sample_id__,__target__,carat,cut,color,clarity,depth,table,x,y,z
diamonds_000000,326.0,0.23,Ideal,E,SI2,61.5,55.0,3.95,3.98,2.43
diamonds_000001,326.0,0.21,Premium,E,SI1,59.8,61.0,3.89,3.84,2.31
diamonds_000002,327.0,0.23,Good,E,VS1,56.9,65.0,4.05,4.07,2.31
diamonds_000003,334.0,0.29,Premium,I,VS2,62.4,58.0,4.2,4.23,2.63
diamonds_000004,335.0,0.31,Good,J,SI2,63.3,58.0,4.34,4.35,2.75
diamonds_000005,336.0,0.24,Very Good,J,VVS2,62.8,57.0,3.94,3.96,2.48
diamonds_000006,336.0,0.24,Very Good,I,VVS1,62.3,57.0,3.95,3.98,2.47
diamonds_000007,337.0,0.26,Very Good,H,SI1,61.9,55.0,4.07,4.11,2.53
diamonds_000008,337.0,0.22,Fair,E,VS2,65.1,61.0,3.87,3.78,2.49
diamonds_000009,338.0,0.23,Very Good,H,VS1,59.4,61.0,4.0,4.05,2.39
diamonds_000010,339.0,0.3,Good,J,SI1,64.0,55.0,4.25,4.28,2.73
diamonds_000011,340.0,0.23,Ideal,J,VS1,62.8,56.0,3.93,3.9,2.46
diamonds_000012,342.0,0.22,Premium,F,SI1,60.4,61.0,3.88,3.84,2.33
diamonds_000013,344.0,0.31,Ideal,J,SI2,62.2,54.0,4.35,4.37,2.71
diamonds_000014,345.0,0.2,Premium,E,SI2,60.2,62.0,3.79,3.75,2.27
diamonds_000015,345.0,0.32,Premium,E,I1,60.9,58.0,4.38,4.42,2.68
diamonds_000016,348.0,0.3,Ideal,I,SI2,62.0,54.0,4.31,4.34,2.68
diamonds_000017,351.0,0.3,Good,J,SI1,63.4,54.0,4.23,4.29,2.7
diamonds_000018,351.0,0.3,Good,J,SI1,63.8,56.0,4.23,4.26,2.71
diamonds_000019,351.0,0.3,Very Good,J,SI1,62.7,59.0,4.21,4.27,2.66
diamonds_000020,351.0,0.3,Good,I,SI2,63.3,56.0,4.26,4.3,2.71
diamonds_000021,352.0,0.23,Very Good,E,VS2,63.8,55.0,3.85,3.92,2.48
diamonds_000022,353.0,0.23,Very Good,H,VS1,61.0,57.0,3.94,3.96,2.41
diamonds_000023,353.0,0.31,Very Good,J,SI1,59.4,62.0,4.39,4.43,2.62
diamonds_000024,353.0,0.31,Very Good,J,SI1,58.1,62.0,4.44,4.47,2.59
diamonds_000025,354.0,0.23,Very Good,G,VVS2,60.4,58.0,3.97,4.01,2.41
diamonds_000026,355.0,0.24,Premium,I,VS1,62.5,57.0,3.97,3.94,2.47
diamonds_000027,357.0,0.3,Very Good,J,VS2,62.2,57.0,4.28,4.3,2.67
diamonds_000028,357.0,0.23,Very Good,D,VS2,60.5,61.0,3.96,3.97,2.4
diamonds_000029,357.0,0.23,Very Good,F,VS1,60.9,57.0,3.96,3.99,2.42
diamonds_000030,402.0,0.23,Very Good,F,VS1,60.0,57.0,4.0,4.03,2.41
diamonds_000031,402.0,0.23,Very Good,F,VS1,59.8,57.0,4.04,4.06,2.42
diamonds_000032,402.0,0.23,Very Good,E,VS1,60.7,59.0,3.97,4.01,2.42
diamonds_000033,402.0,0.23,Very Good,E,VS1,59.5,58.0,4.01,4.06,2.4
diamonds_000034,402.0,0.23,Very Good,D,VS1,61.9,58.0,3.92,3.96,2.44
diamonds_000035,402.0,0.23,Good,F,VS1,58.2,59.0,4.06,4.08,2.37
diamonds_000036,402.0,0.23,Good,E,VS1,64.1,59.0,3.83,3.85,2.46
diamonds_000037,402.0,0.31,Good,H,SI1,64.0,54.0,4.29,4.31,2.75
diamonds_000038,403.0,0.26,Very Good,D,VS2,60.8,59.0,4.13,4.16,2.52
diamonds_000039,403.0,0.33,Ideal,I,SI2,61.8,55.0,4.49,4.51,2.78
diamonds_000040,403.0,0.33,Ideal,I,SI2,61.2,56.0,4.49,4.5,2.75
diamonds_000041,403.0,0.33,Ideal,J,SI1,61.1,56.0,4.49,4.55,2.76
diamonds_000042,403.0,0.26,Good,D,VS2,65.2,56.0,3.99,4.02,2.61
diamonds_000043,403.0,0.26,Good,D,VS1,58.4,63.0,4.19,4.24,2.46
diamonds_000044,403.0,0.32,Good,H,SI2,63.1,56.0,4.34,4.37,2.75
diamonds_000045,403.0,0.29,Premium,F,SI1,62.4,58.0,4.24,4.26,2.65
diamonds_000046,403.0,0.32,Very Good,H,SI2,61.8,55.0,4.35,4.42,2.71
diamonds_000047,403.0,0.32,Good,H,SI2,63.8,56.0,4.36,4.38,2.79
diamonds_000048,404.0,0.25,Very Good,E,VS2,63.3,60.0,4.0,4.03,2.54
diamonds_000049,404.0,0.29,Very Good,H,SI2,60.7,60.0,4.33,4.37,2.64
diamonds_000050,404.0,0.24,Very Good,F,SI1,60.9,61.0,4.02,4.03,2.45
diamonds_000051,404.0,0.23,Ideal,G,VS1,61.9,54.0,3.93,3.95,2.44
diamonds_000052,404.0,0.32,Ideal,I,SI1,60.9,55.0,4.45,4.48,2.72
diamonds_000053,404.0,0.22,Premium,E,VS2,61.6,58.0,3.93,3.89,2.41
diamonds_000054,404.0,0.22,Premium,D,VS2,59.3,62.0,3.91,3.88,2.31
diamonds_000055,405.0,0.3,Ideal,I,SI2,61.0,59.0,4.3,4.33,2.63
diamonds_000056,405.0,0.3,Premium,J,SI2,59.3,61.0,4.43,4.38,2.61
diamonds_000057,405.0,0.3,Very Good,I,SI1,62.6,57.0,4.25,4.28,2.67
diamonds_000058,405.0,0.3,Very Good,I,SI1,63.0,57.0,4.28,4.32,2.71
diamonds_000059,405.0,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7
diamonds_000060,552.0,0.35,Ideal,I,VS1,60.9,57.0,4.54,4.59,2.78
diamonds_000061,552.0,0.3,Premium,D,SI1,62.6,59.0,4.23,4.27,2.66
diamonds_000062,552.0,0.3,Ideal,D,SI1,62.5,57.0,4.29,4.32,2.69
diamonds_000063,552.0,0.3,Ideal,D,SI1,62.1,56.0,4.3,4.33,2.68
diamonds_000064,552.0,0.42,Premium,I,SI2,61.5,59.0,4.78,4.84,2.96
diamonds_000065,553.0,0.28,Ideal,G,VVS2,61.4,56.0,4.19,4.22,2.58
diamonds_000066,553.0,0.32,Ideal,I,VVS1,62.0,55.3,4.39,4.42,2.73
diamonds_000067,553.0,0.31,Very Good,G,SI1,63.3,57.0,4.33,4.3,2.73
diamonds_000068,553.0,0.31,Premium,G,SI1,61.8,58.0,4.35,4.32,2.68
diamonds_000069,553.0,0.24,Premium,E,VVS1,60.7,58.0,4.01,4.03,2.44
diamonds_000070,553.0,0.24,Very Good,D,VVS1,61.5,60.0,3.97,4.0,2.45
diamonds_000071,554.0,0.3,Very Good,H,SI1,63.1,56.0,4.29,4.27,2.7
diamonds_000072,554.0,0.3,Premium,H,SI1,62.9,59.0,4.28,4.24,2.68
diamonds_000073,554.0,0.3,Premium,H,SI1,62.5,57.0,4.29,4.25,2.67
diamonds_000074,554.0,0.3,Good,H,SI1,63.7,57.0,4.28,4.26,2.72
diamonds_000075,554.0,0.26,Very Good,F,VVS2,59.2,60.0,4.19,4.22,2.49
diamonds_000076,554.0,0.26,Very Good,E,VVS2,59.9,58.0,4.15,4.23,2.51
diamonds_000077,554.0,0.26,Very Good,D,VVS2,62.4,54.0,4.08,4.13,2.56
diamonds_000078,554.0,0.26,Very Good,D,VVS2,62.8,60.0,4.01,4.05,2.53
diamonds_000079,554.0,0.26,Very Good,E,VVS1,62.6,59.0,4.06,4.09,2.55
diamonds_000080,554.0,0.26,Very Good,E,VVS1,63.4,59.0,4.0,4.04,2.55
diamonds_000081,554.0,0.26,Very Good,D,VVS1,62.1,60.0,4.03,4.12,2.53
diamonds_000082,554.0,0.26,Ideal,E,VVS2,62.9,58.0,4.02,4.06,2.54
diamonds_000083,554.0,0.38,Ideal,I,SI2,61.6,56.0,4.65,4.67,2.87
diamonds_000084,554.0,0.26,Good,E,VVS1,57.9,60.0,4.22,4.25,2.45
diamonds_000085,554.0,0.24,Premium,G,VVS1,62.3,59.0,3.95,3.92,2.45
diamonds_000086,554.0,0.24,Premium,H,VVS1,61.2,58.0,4.01,3.96,2.44
diamonds_000087,554.0,0.24,Premium,H,VVS1,60.8,59.0,4.02,4.0,2.44
diamonds_000088,554.0,0.24,Premium,H,VVS2,60.7,58.0,4.07,4.04,2.46
diamonds_000089,554.0,0.32,Premium,I,SI1,62.9,58.0,4.35,4.33,2.73
diamonds_000090,2757.0,0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57
diamonds_000091,2757.0,0.86,Fair,E,SI2,55.1,69.0,6.45,6.33,3.52
diamonds_000092,2757.0,0.7,Ideal,G,VS2,61.6,56.0,5.7,5.67,3.5
diamonds_000093,2759.0,0.71,Very Good,E,VS2,62.4,57.0,5.68,5.73,3.56
diamonds_000094,2759.0,0.78,Very Good,G,SI2,63.8,56.0,5.81,5.85,3.72
diamonds_000095,2759.0,0.7,Good,E,VS2,57.5,58.0,5.85,5.9,3.38
diamonds_000096,2759.0,0.7,Good,F,VS1,59.4,62.0,5.71,5.76,3.4
diamonds_000097,2759.0,0.96,Fair,F,SI2,66.3,62.0,6.27,5.95,4.07
diamonds_000098,2760.0,0.73,Very Good,E,SI1,61.6,59.0,5.77,5.78,3.56
diamonds_000099,2760.0,0.8,Premium,H,SI1,61.5,58.0,5.97,5.93,3.66
diamonds_000100,2760.0,0.75,Very Good,D,SI1,63.2,56.0,5.8,5.75,3.65
diamonds_000101,2760.0,0.75,Premium,E,SI1,59.9,54.0,6.0,5.96,3.58
